linh_vuc,dataset_name,type_file,link
Kinh tế,ƯỚC THỰC HIỆN THU NGÂN SÁCH NHÀ NƯỚC 3 THÁNG NĂM 2021,XLS,https://opendata.thanhhoa.gov.vn/dataset/7a67f82f-a60e-490b-a40a-c5ca30574730/resource/c427bc42-44fe-4bad-974b-47b9b1708c08/download/c-thc-hin-thu-ngan-sach-nha-nc-3-thang-nm-2021.xls
Kinh tế,Cân đối ngân sách địa phương quý 3 năm 2019,XLS,https://opendata.thanhhoa.gov.vn/dataset/e4c12352-d077-4ede-9d4e-010d00c704d7/resource/1afa007c-febd-4573-b30b-3a3a139ef5e5/download/can-i-ngan-sach-a-phng-quy-3-nm-2019.xls
Kinh tế,Ước thực hiện thu ngân sách nhà nước quý 1 năm 2020,XLS,https://opendata.thanhhoa.gov.vn/dataset/f314d8e8-64dd-4c86-8c36-b4b293230f9d/resource/0e972cef-71c1-4305-ae2b-546cf34e2cf3/download/c-thc-hin-thu-ngan-sach-nha-nc-quy-1-nm-2020.xls
Kinh tế,Ước thực hiện thu ngân sách nhà nước quý 1 năm 2020,CSV,/datastore/dump/0e972cef-71c1-4305-ae2b-546cf34e2cf3?bom=True
Kinh tế,Ước thực hiện thu ngân sách nhà nước quý 1 năm 2020,JSON,/datastore/dump/0e972cef-71c1-4305-ae2b-546cf34e2cf3?format=json
Kinh tế,Ước thực hiện thu ngân sách nhà nước quý 1 năm 2020,XML,/datastore/dump/0e972cef-71c1-4305-ae2b-546cf34e2cf3?format=xml
Nông Nghiệp,"Dữ liệu kiểm kê, tra cứu nguồn nước trong hệ thống hồ chứa thủy lợi lớn",PDF,https://opendata.thanhhoa.gov.vn/dataset/ae2bafcd-ca69-4a23-9ea8-541dd225324d/resource/8fad86c8-1596-4163-9436-5bf6748370ea/download/du-lieu-kiem-ke-tra-cuu-nguon-nuoc.pdf
Kinh tế,"Cân đối nguồn thu, chi dự toán ngân sách cấp tỉnh và ngân sách huyện năm 2019",XLSX,https://opendata.thanhhoa.gov.vn/dataset/729e3029-ddb6-4b51-ac85-b6424ddc1dcb/resource/b86d0a63-e147-4d4d-ab06-b16d12e6976b/download/can-i-ngun-thu-chi-d-toan-ngan-sach-cp-tnh-va-ngan-sach-huyn-nm-2019.xlsx
Nông Nghiệp,Dữ liệu hạn ngạch Giấy phép khai thác thủy sản tại vùng ven bờ và vùng lộng,XLSX,https://opendata.thanhhoa.gov.vn/dataset/ce79f06e-bc49-4777-b6e3-40e85595f43e/resource/6a02b91a-1168-494c-8256-cba48418d6cd/download/d-liu-hn-ngch-gpkt-thy-sn.xlsx
Nông Nghiệp,Dữ liệu Cơ sở đủ điều kiện ATTP nông lâm thủy sản,PDF,https://opendata.thanhhoa.gov.vn/dataset/9ab0dd41-d952-4566-8d0a-1fd56aa0cc73/resource/d06f55d0-bfa7-43de-bda9-2199fd10a4b0/download/c-s-iu-kin-attp.pdf
Nông Nghiệp,Dữ liệu Bản Tự công bố sản phẩm của các cơ sở sản xuất thực phẩm nông lâm thủy sản,PDF,https://opendata.thanhhoa.gov.vn/dataset/099d0891-56f3-44ca-9f1f-7fa1590414b1/resource/48838d58-b3a3-4ac8-b2ce-0467fd981f3a/download/bn-t-cong-sn-phm-ca-cac-cssx-tp.pdf
